snapshot_date,public_repos,followers,following,created_at,contributions_last_year
2025-07-09T22:46:38.661491,1,1,0,2023-11-23T20:40:53Z,48
2025-07-10T19:10:06.755021,1,1,0,2023-11-23T20:40:53Z,56
2025-07-14T06:19:29.533889,1,1,0,2023-11-23T20:40:53Z,61
2025-07-21T06:19:37.081484,1,1,0,2023-11-23T20:40:53Z,63
2025-07-28T06:20:57.547786,1,1,0,2023-11-23T20:40:53Z,66
2025-08-04T06:25:05.386687,1,1,0,2023-11-23T20:40:53Z,66
2025-08-11T06:20:25.143179,1,1,0,2023-11-23T20:40:53Z,66
2025-08-18T06:19:53.561588,1,1,0,2023-11-23T20:40:53Z,73
2025-08-25T06:18:41.706882,1,1,0,2023-11-23T20:40:53Z,82
2025-09-01T06:19:04.839319,1,1,0,2023-11-23T20:40:53Z,90
2025-09-08T06:18:13.982264,1,1,0,2023-11-23T20:40:53Z,90
2025-09-15T06:18:31.508242,1,1,0,2023-11-23T20:40:53Z,90
2025-09-22T06:18:16.713161,1,1,0,2023-11-23T20:40:53Z,90
2025-09-29T06:18:15.568370,1,1,0,2023-11-23T20:40:53Z,90
2025-10-06T06:17:57.680285,1,1,0,2023-11-23T20:40:53Z,90
2025-10-13T06:19:03.075667,1,1,0,2023-11-23T20:40:53Z,90
2025-10-20T06:18:20.034740,1,1,0,2023-11-23T20:40:53Z,90
2025-10-27T06:19:51.065537,1,1,0,2023-11-23T20:40:53Z,90
2025-11-03T06:19:01.863725,1,1,0,2023-11-23T20:40:53Z,90
2025-11-10T06:19:48.871137,1,1,0,2023-11-23T20:40:53Z,90
2025-11-17T06:19:20.494427,1,1,0,2023-11-23T20:40:53Z,90
2025-11-24T06:19:27.317604,1,1,0,2023-11-23T20:40:53Z,90
2025-12-01T06:20:50.294531,1,1,0,2023-11-23T20:40:53Z,90
2025-12-08T06:21:27.285042,1,1,0,2023-11-23T20:40:53Z,90
2025-12-15T06:21:43.002512,1,1,0,2023-11-23T20:40:53Z,90
2025-12-22T06:21:24.688764,1,1,0,2023-11-23T20:40:53Z,90
2025-12-29T06:22:29.315056,1,1,0,2023-11-23T20:40:53Z,90
2026-01-12T06:23:50.077545,1,1,0,2023-11-23T20:40:53Z,90
2026-01-19T06:25:43.697045,1,1,0,2023-11-23T20:40:53Z,90
2026-01-26T06:24:45.489284,1,1,0,2023-11-23T20:40:53Z,90
2026-02-02T06:51:59.773641,1,1,0,2023-11-23T20:40:53Z,90
2026-02-09T06:54:45.132444,1,1,0,2023-11-23T20:40:53Z,90
2026-02-16T06:52:54.910670,1,1,0,2023-11-23T20:40:53Z,90
2026-02-23T06:53:49.049665,1,1,0,2023-11-23T20:40:53Z,90
2026-03-02T06:44:17.948884,1,1,0,2023-11-23T20:40:53Z,90
2026-03-09T06:50:10.286003,1,1,0,2023-11-23T20:40:53Z,90
2026-03-16T07:05:39.805513,1,1,0,2023-11-23T20:40:53Z,90
2026-03-23T06:58:29.207538,1,1,0,2023-11-23T20:40:53Z,90
2026-03-30T07:15:32.226569,1,1,0,2023-11-23T20:40:53Z,90
2026-04-06T07:17:32.146968,1,1,0,2023-11-23T20:40:53Z,90
2026-04-13T07:48:09.880500,1,1,0,2023-11-23T20:40:53Z,90
2026-04-20T07:51:07.938191,1,1,0,2023-11-23T20:40:53Z,90
2026-04-27T08:05:17.094659,1,1,0,2023-11-23T20:40:53Z,90
2026-05-04T08:17:02.777950,1,1,0,2023-11-23T20:40:53Z,90
